Sr No,Date,Startup Name,IndUSAtry Vertical,SubVertical,Location,Investors Name,InvestmentType,Amount,IsAmountDisclosed
2853,23-04-2015,HeadOut,Last Minute Travel Deals mobile marketplace,Not Specified,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,1800000,1
2854,23-04-2015,happay,usiness expense management,Not Specified,Bangalore,AngelPrime,Seed Funding,500000,1
2855,23-04-2015,Jugnoo,Auto Rickshaw based Logistics,Not Specified,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,1000000,1
2856,23-04-2015,EazyDiner,Restaurant reservation app,Not Specified,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,0,0
2857,23-04-2015,Phone Warrior,Spam Call block App,Not Specified,New Delhi,Lightspeed Ventures,Seed Funding,0,0
2858,24-04-2015,Coverfox,Online Insurance Aggregator,Not Specified,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,12000000,1
2859,27-04-2015,Torqus,Restaurant Management Platform,Not Specified,Pune,S S Mukherji & Others,Seed Funding,350000,1
2860,27-04-2015,Grab,Food Logistics & Delivery,Not Specified,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,1000000,1
2861,27-04-2015,Logic Roots,Interactive Educational Games,Not Specified,Jaipur,"Ah! Ventures, Calcutta Angels, 91SpringBoard",Seed Funding,400000,1
2028,08-01-2016,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000,1
2863,28-04-2015,Babajobs,Grey collar Job Board,Not Specified,Bangalore,SEEK Ltd & affiliates,Private Equity,10000000,1
2864,28-04-2015,Urban Ladder,Online Furniture ecommerce,Not Specified,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,0,0
2865,28-04-2015,Jay Robotix,Robotic Program learning,Not Specified,Hyderabad,Cross Border Angels & others,Seed Funding,250000,1
2866,28-04-2015,Naaptol,Tele-Shopping / eCommerce,Not Specified,Mumbai,Mitsui & Co & existing investors,Private Equity,21500000,1
2867,29-04-2015,ReGlobe,Used Gadgets Buy / Refurbishing,Not Specified,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,1000000,1
2868,29-04-2015,Icertis,Cloud Enterprise Software,Not Specified,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,6000000,1
2869,29-04-2015,Tracxn,Startup Analytics platform,Not Specified,Bangalore,SAIF Partners,Private Equity,3500000,1
2870,29-04-2015,Dazo,Mobile Food Ordering app,Not Specified,Bangalore,"Sumit Jain, Aprameya Radhakrishna, Alok Goel, Rajan Anandan, Amit Agrawal, Vinay Goel, Gaurav Munjal, Ashish Dev Kapur",Seed Funding,0,0
2871,29-04-2015,Tradelab,Financial Markets Software,Not Specified,Bangalore,Rainmatter,Seed Funding,400000,1
2872,29-04-2015,PiQube,Hiring Analytics platform,Not Specified,Chennai,The HR Fund,Seed Funding,500000,1
2873,29-04-2015,Travel Triangle,Online Travel Marketplace,Not Specified,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,8000000,1
2874,02-03-2015,TrulyMadly,Unknown,Not Specified,Unknown,"Helion Venture Partners, Kae Capital",Private Equity,5500000,1
2875,02-03-2015,InstaLively,Unknown,Not Specified,Unknown,Group of Angel Investors,Seed Funding,120000,1
2876,03-03-2015,Vserv,Unknown,Not Specified,Unknown,"Maverick Capital, IDG Ventures India",Private Equity,15000000,1
2877,03-03-2015,Intruo,Unknown,Not Specified,Unknown,"Ashutosh Lawania, Alok Goel & others",Seed Funding,0,0
2878,05-03-2015,Niffler,Unknown,Not Specified,Unknown,SAIF Partners,Seed Funding,1000000,1
2879,05-03-2015,CustomFurnish,Unknown,Not Specified,Unknown,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,2500000,1
2880,06-03-2015,MapMyGenome,Unknown,Not Specified,Unknown,Rajan Anandan & other angel investors,Private Equity,1200000,1
2881,09-03-2015,Crowdfire (formerly Justunfollow),Unknown,Not Specified,Unknown,Kalaari Capital,Private Equity,2500000,1
2270,25-11-2015,Early Salary,Mobile App based Loan disbursement platform,Not Specified,Mumbai,Ashok Agarwal,Seed Funding,1500000,1
2883,10-03-2015,Localbanya,Unknown,Not Specified,Unknown,Shrem Strategies,Private Equity,0,0
2884,11-03-2015,Appedo,Unknown,Not Specified,Unknown,Undisclosed Investors,Seed Funding,1000000,1
2885,11-03-2015,Fitraq,Unknown,Not Specified,Unknown,Tarun Arora,Seed Funding,150000,1
2886,11-03-2015,ChargeBee,Unknown,Not Specified,Unknown,"Tiger Global, Accel Partners",Private Equity,5000000,1
